00:18:00.606 INFO  IP: 205.210.31.182 -> / 
01:03:21.468 INFO  IP: 198.235.24.50 -> / 
01:47:01.529 INFO  [GUILD LEAVE] Test Server (696458513949393028) removed the bot. 
01:47:19.876 INFO  [GUILD JOIN] Test Server (696458513949393028) added the bot. 
01:47:20.422 ERROR Failed to load interactions for guild: 696458513949393028 due to: Max number of daily application command creates has been reached (200). 
01:47:31.135 INFO  =-=-=-=-=-=-=- Config file Verification -=-=-=-=-=-=-= 
01:47:31.136 INFO  Verifying config.. 
01:47:31.137 INFO  Checking client details.. 
01:47:31.857 INFO  Checking MongoDB URL 
01:47:32.158 INFO  =-=-=-=-=-=-=- Loading shard(s) -=-=-=-=-=-=-= 
01:47:33.219 INFO  =-=-=-=-=-=-=- Loading command(s): 137 -=-=-=-=-=-=-= 
01:47:33.225 INFO  Loading Command: flip. 
01:47:33.226 INFO  Loading Command: meme. 
01:47:33.227 INFO  Loading Command: pokememe. 
01:47:33.228 INFO  Loading Command: pokemon. 
01:47:33.229 INFO  Loading Command: type. 
01:47:33.230 INFO  Loading Command: random. 
01:47:33.232 INFO  Loading Command: rpokemon. 
01:47:33.234 INFO  Loading Command: poll. 
01:47:33.235 INFO  Loading Command: eval. 
01:47:33.242 INFO  Loading Command: lavalink. 
01:47:33.243 INFO  Loading Command: refresh. 
01:47:33.244 INFO  Loading Command: reload. 
01:47:33.245 INFO  Loading Command: script. 
01:47:33.246 INFO  Loading Command: shutdown. 
01:47:33.279 INFO  Loading Command: user. 
01:47:33.281 INFO  Loading Command: leaderboard. 
01:47:33.490 INFO  Loading Command: rank. 
01:47:33.491 INFO  Loading Command: blurpify. 
01:47:33.492 INFO  Loading Command: captcha. 
01:47:33.493 INFO  Loading Command: cat. 
01:47:33.494 INFO  Loading Command: changemymind. 
01:47:33.494 INFO  Loading Command: clyde. 
01:47:33.495 INFO  Loading Command: craiyon. 
01:47:33.496 INFO  Loading Command: deepfry. 
01:47:33.497 INFO  Loading Command: dog. 
01:47:33.512 INFO  Loading Command: image. 
01:47:33.513 INFO  Loading Command: phcomment. 
01:47:33.514 INFO  Loading Command: qrcode. 
01:47:33.515 INFO  Loading Command: ship. 
01:47:33.516 INFO  Loading Command: threats. 
01:47:33.517 INFO  Loading Command: twitter. 
01:47:33.517 INFO  Loading Command: whowouldwin. 
01:47:33.519 INFO  Loading Command: g-delete. 
01:47:33.520 INFO  Loading Command: g-edit. 
01:47:33.521 INFO  Loading Command: g-pause. 
01:47:33.522 INFO  Loading Command: g-reroll. 
01:47:33.523 INFO  Loading Command: g-start. 
01:47:33.524 INFO  Loading Command: giveaway. 
01:47:33.526 INFO  Loading Command: help. 
01:47:33.527 INFO  Loading Command: shorturl. 
01:47:33.528 INFO  Loading Command: status. 
01:47:33.529 INFO  Loading Command: addrole. 
01:47:33.530 INFO  Loading Command: ban. 
01:47:33.531 INFO  Loading Command: clear-warning. 
01:47:33.532 INFO  Loading Command: clear. 
01:47:33.532 INFO  Loading Command: deafen. 
01:47:33.533 INFO  Loading Command: delrole. 
01:47:33.534 INFO  Loading Command: dm. 
01:47:33.538 INFO  Loading Command: editrole. 
01:47:33.539 INFO  Loading Command: kick. 
01:47:33.540 INFO  Loading Command: lock. 
01:47:33.541 INFO  Loading Command: mute. 
01:47:33.541 INFO  Loading Command: nick. 
01:47:33.550 INFO  Loading Command: report. 
